model,block_layer,stage,pooling,condition,source_language,target_language,metric,value,k,n_train,n_eval
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,language_subspace_variance_fraction,0.33419380201997906,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,language_subspace_centroid_variance,0.9999999999999999,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,anisotropy,0.85194862798702,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,geometry,,,stable_rank,5.452140872573271,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,ko,r1,0.3359375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,ko,mrr,0.4358416006511696,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,ja,r1,0.275390625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,ja,mrr,0.3901126934857277,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,zh,r1,0.53125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,en,zh,mrr,0.6164331180721392,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,en,r1,0.32421875,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,en,mrr,0.43123464071606415,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,ja,r1,0.46484375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,ja,mrr,0.5681696669341041,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,zh,r1,0.189453125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ko,zh,mrr,0.2802957922617489,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,en,r1,0.306640625,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,en,mrr,0.41531141662391335,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,ko,r1,0.408203125,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,ko,mrr,0.5164284984731471,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,zh,r1,0.2109375,3,1024,2048
Qwen/Qwen2.5-0.5B,7,post_attention,last_token,raw,ja,zh,mrr,0.295927408015492,3,1024,2048
