model,layer,normalized_depth,pooling,condition,seed,source_language,target_language,metric,value,n_train,n_eval,record_type,comparison,ci_lower,ci_upper,n_resamples
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,zh,r1,0.583984375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ko,zh,mrr,0.6902965178788129,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,en,r1,0.701171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,en,mrr,0.7907188603990298,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,ko,r1,0.650390625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,ko,mrr,0.7311592548217352,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,zh,r1,0.7265625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,ja,zh,mrr,0.8061109041805719,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,en,r1,0.76171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,en,mrr,0.8362554715141767,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,ko,r1,0.576171875,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,ko,mrr,0.6802076154327419,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,ja,r1,0.521484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,22,0.9166666666666666,last_token,remove_language,,zh,ja,mrr,0.6027164239281108,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,ko,r1,0.658203125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,ko,mrr,0.7554068215912392,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,ja,r1,0.490234375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,ja,mrr,0.6017351834707803,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,zh,r1,0.646484375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,en,zh,mrr,0.7387752363230149,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,en,r1,0.787109375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,en,mrr,0.8466248698663601,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,ja,r1,0.62890625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,ja,mrr,0.6853061615150227,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,zh,r1,0.7578125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ko,zh,mrr,0.820484403034351,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,en,r1,0.724609375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,en,mrr,0.7990472714656732,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,ko,r1,0.75,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,ko,mrr,0.8080672231497068,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,zh,r1,0.744140625,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,ja,zh,mrr,0.8104113010011452,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,en,r1,0.8125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,en,mrr,0.8642692773902697,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,ko,r1,0.693359375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,ko,mrr,0.7726010308633808,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,ja,r1,0.580078125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,23,0.9583333333333334,last_token,remove_language,,zh,ja,mrr,0.6542010713670116,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,ko,r1,0.0234375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,ko,mrr,0.06824878406476477,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,ja,r1,0.01953125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,ja,mrr,0.06484341117187638,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,zh,r1,0.033203125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,en,zh,mrr,0.0753121497853112,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,en,r1,0.064453125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,en,mrr,0.15614694400530757,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,ja,r1,0.443359375,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,ja,mrr,0.5247486896318103,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,zh,r1,0.3828125,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ko,zh,mrr,0.4616878216023087,1024,2048,metric,,,,
trillionlabs/Tri-0.5B-Base,24,1.0,last_token,remove_language,,ja,en,r1,0.05078125,1024,2048,metric,,,,
