model,layer,normalized_depth,pooling,condition,status,metric,value,n_train,n_eval,directions
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,delta,ok,r10,0.06526692708333333,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,raw,ok,mrr,0.6363741340744922,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered,ok,mrr,0.8021586355849036,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,centered_delta,ok,mrr,0.16578450151041146,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,aligned,ok,mrr,0.6448030352780175,256,512,12
trillionlabs/Tri-0.5B-Base,9,0.375,last_token,delta,ok,mrr,0.008428901203525288,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,raw,ok,r1,0.5984700520833334,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered,ok,r1,0.76318359375,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered_delta,ok,r1,0.16471354166666666,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,aligned,ok,r1,0.5509440104166666,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,delta,ok,r1,-0.047526041666666664,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,raw,ok,r5,0.7587890625,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered,ok,r5,0.8873697916666666,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered_delta,ok,r5,0.12858072916666666,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,aligned,ok,r5,0.7845052083333334,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,delta,ok,r5,0.025716145833333332,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,raw,ok,r10,0.8043619791666666,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered,ok,r10,0.921875,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered_delta,ok,r10,0.11751302083333333,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,aligned,ok,r10,0.84814453125,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,delta,ok,r10,0.043782552083333336,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,raw,ok,mrr,0.6716594302358798,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered,ok,mrr,0.8192108892574349,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,centered_delta,ok,mrr,0.14755145902155517,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,aligned,ok,mrr,0.6567875858519318,256,512,12
trillionlabs/Tri-0.5B-Base,10,0.4166666666666667,last_token,delta,ok,mrr,-0.014871844383948105,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,raw,ok,r1,0.6064453125,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered,ok,r1,0.7649739583333334,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered_delta,ok,r1,0.15852864583333334,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,aligned,ok,r1,0.5517578125,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,delta,ok,r1,-0.0546875,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,raw,ok,r5,0.7662760416666666,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered,ok,r5,0.89404296875,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered_delta,ok,r5,0.12776692708333334,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,aligned,ok,r5,0.7877604166666666,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,delta,ok,r5,0.021484375,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,raw,ok,r10,0.8115234375,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered,ok,r10,0.9249674479166666,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered_delta,ok,r10,0.11344401041666667,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,aligned,ok,r10,0.8536783854166666,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,delta,ok,r10,0.042154947916666664,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,raw,ok,mrr,0.6797446336760705,256,512,12
trillionlabs/Tri-0.5B-Base,11,0.4583333333333333,last_token,centered,ok,mrr,0.8224623593275792,256,512,12
