model,layer,normalized_depth,pooling,condition,train_language,test_language,metric,value,accuracy,macro_f1,english_score,transfer_gap,n_train,n_centroid_samples,n_eval,n_classes
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,ko,macro_f1,0.48435818378519657,0.5513333333333333,0.48435818378519657,0.7388779987457708,0.2545198149605742,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,ja,accuracy,0.5426666666666666,0.5426666666666666,0.47786320651838915,0.7986666666666666,0.256,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,ja,macro_f1,0.47786320651838915,0.5426666666666666,0.47786320651838915,0.7388779987457708,0.2610147922273816,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,zh,accuracy,0.56,0.56,0.48754547749997157,0.7986666666666666,0.23866666666666658,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,raw,en,zh,macro_f1,0.48754547749997157,0.56,0.48754547749997157,0.7388779987457708,0.2513325212457992,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,en,accuracy,0.7986666666666666,0.7986666666666666,0.7388779987457708,0.7986666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,en,macro_f1,0.7388779987457708,0.7986666666666666,0.7388779987457708,0.7388779987457708,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,ko,accuracy,0.5513333333333333,0.5513333333333333,0.48435818378519657,0.7986666666666666,0.2473333333333333,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,ko,macro_f1,0.48435818378519657,0.5513333333333333,0.48435818378519657,0.7388779987457708,0.2545198149605742,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,ja,accuracy,0.5426666666666666,0.5426666666666666,0.47786320651838915,0.7986666666666666,0.256,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,ja,macro_f1,0.47786320651838915,0.5426666666666666,0.47786320651838915,0.7388779987457708,0.2610147922273816,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,zh,accuracy,0.56,0.56,0.48754547749997157,0.7986666666666666,0.23866666666666658,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,global-centered,en,zh,macro_f1,0.48754547749997157,0.56,0.48754547749997157,0.7388779987457708,0.2513325212457992,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,per-language-centered,en,en,accuracy,0.7986666666666666,0.7986666666666666,0.7388779987457708,0.7986666666666666,0.0,3000,3000,1500,60
trillionlabs/Tri-0.5B-Base,6,0.25,mean,per-language-centered,en,en,macro_f1,0.7388779987457708,0.7986666666666666,0.7388779987457708,0.7388779987457708,0.0,3000,3000,1500,60
