model,layer,normalized_depth,pooling,language,source_language,target_language,n,metric,value
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ko,512,matched_cosine,0.8191452026367188
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ko,512,unmatched_cosine,0.7990401983261108
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ko,512,cosine_margin,0.02010500431060791
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ja,512,matched_cosine,0.8494912981987
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ja,512,unmatched_cosine,0.8308601379394531
Qwen/Qwen2.5-0.5B,4,0.16666666666666666,last_token,,zh,ja,512,cosine_margin,0.018631160259246826
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,en,,,512,centroid_norm,0.9175644516944885
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,en,,,512,within_language_cosine,0.84161520284216
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,en,,,512,stable_rank,15.635833521667585
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,ko,,,512,centroid_norm,0.9277206063270569
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,ko,,,512,within_language_cosine,0.8603928299099498
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,ko,,,512,stable_rank,4.028340471154886
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,ja,,,512,centroid_norm,0.9543695449829102
Qwen/Qwen2.5-0.5B,5,0.20833333333333334,last_token,ja,,,512,within_language_cosine,0.9106467409376529
