model,pooling,layer,target_language,metric,retrieval_raw,retrieval_centered,retrieval_gain,transfer_raw,transfer_centered,transfer_gain,pearson_r,spearman_r
trillionlabs/Tri-0.5B-Base,mean,0,ko,macro_f1,0.6282552083333334,0.6845052083333333,0.05624999999999991,0.24000803162573858,0.2680366829115472,0.028028651285808615,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,0,zh,macro_f1,0.6119791666666666,0.7006510416666667,0.08867187500000007,0.2402890270845092,0.2778587467757364,0.037569719691227216,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,6,ja,macro_f1,0.7610677083333334,0.94921875,0.18815104166666663,0.47786320651838915,0.5236299628701413,0.04576675635175215,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,6,ko,macro_f1,0.748046875,0.9428385416666667,0.1947916666666667,0.48435818378519657,0.5309440662082567,0.046585882423060165,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,6,zh,macro_f1,0.6888020833333334,0.94765625,0.2588541666666666,0.48754547749997157,0.5121642463655918,0.0246187688656202,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,12,ja,macro_f1,0.4368489583333333,0.6927734375,0.25592447916666666,0.5049158186279054,0.5783948716053963,0.07347905297749091,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,12,ko,macro_f1,0.4231770833333333,0.7202473958333333,0.2970703125,0.4957723618717989,0.5485084258907063,0.05273606401890735,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,12,zh,macro_f1,0.3697916666666667,0.5295572916666667,0.15976562499999997,0.45280743322858463,0.5176244318864766,0.06481699865789192,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,24,ja,macro_f1,0.042317708333333336,0.7631510416666667,0.7208333333333333,0.27145350776841476,0.4719450683989091,0.20049156063049434,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,24,ko,macro_f1,0.055338541666666664,0.7178385416666667,0.6625000000000001,0.24324476578557652,0.4829742398092896,0.23972947402371309,0.5960412023127962,0.7528288316813024
trillionlabs/Tri-0.5B-Base,mean,24,zh,macro_f1,0.0625,0.7314453125,0.6689453125,0.2801235197456758,0.4986413296125122,0.2185178098668364,0.5960412023127962,0.7528288316813024
