model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r5,256,512,aligned,ok,0.060546875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r5,256,512,delta,ok,0.0390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r10,256,512,raw,ok,0.029296875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r10,256,512,aligned,ok,0.087890625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,r10,256,512,delta,ok,0.05859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,mrr,256,512,raw,ok,0.018105354579906828
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,mrr,256,512,aligned,ok,0.04692309216366759
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,en,mrr,256,512,delta,ok,0.028817737583760765
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r1,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r1,256,512,aligned,ok,0.015625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r1,256,512,delta,ok,0.00390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r5,256,512,raw,ok,0.033203125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r5,256,512,aligned,ok,0.056640625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r5,256,512,delta,ok,0.0234375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r10,256,512,raw,ok,0.060546875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r10,256,512,aligned,ok,0.08984375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,r10,256,512,delta,ok,0.029296875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,mrr,256,512,raw,ok,0.029372712049688804
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,mrr,256,512,aligned,ok,0.048021133161830584
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,en,zh,mrr,256,512,delta,ok,0.01864842111214178
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r1,256,512,raw,ok,0.0078125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r1,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r1,256,512,delta,ok,0.00390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r5,256,512,raw,ok,0.03515625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r5,256,512,aligned,ok,0.064453125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r5,256,512,delta,ok,0.029296875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r10,256,512,raw,ok,0.0703125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r10,256,512,aligned,ok,0.109375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,r10,256,512,delta,ok,0.0390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,mrr,256,512,raw,ok,0.03180935725931219
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,mrr,256,512,aligned,ok,0.04833406153669963
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,zh,en,mrr,256,512,delta,ok,0.016524704277387434
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r1,256,512,raw,ok,0.00390625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r1,256,512,aligned,ok,0.005859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r1,256,512,delta,ok,0.001953125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r5,256,512,raw,ok,0.015625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r5,256,512,aligned,ok,0.033203125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r5,256,512,delta,ok,0.017578125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r10,256,512,raw,ok,0.03125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r10,256,512,aligned,ok,0.0625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,r10,256,512,delta,ok,0.03125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,mrr,256,512,raw,ok,0.018205263197553494
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,mrr,256,512,aligned,ok,0.029803980301097086
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,ja,mrr,256,512,delta,ok,0.011598717103543592
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r1,256,512,raw,ok,0.0
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r1,256,512,aligned,ok,0.017578125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r1,256,512,delta,ok,0.017578125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r5,256,512,raw,ok,0.009765625
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r5,256,512,aligned,ok,0.060546875
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r5,256,512,delta,ok,0.05078125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r10,256,512,raw,ok,0.02734375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r10,256,512,aligned,ok,0.095703125
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,r10,256,512,delta,ok,0.068359375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,mrr,256,512,raw,ok,0.01373348876956268
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,mrr,256,512,aligned,ok,0.04891452678313793
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ja,ko,mrr,256,512,delta,ok,0.03518103801357525
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,r1,256,512,raw,ok,0.005859375
trillionlabs/Tri-0.5B-Base,1,0.041666666666666664,last_token,ko,zh,r1,256,512,aligned,ok,0.0078125
