model,layer,normalized_depth,pooling,record_type,basis,k,seed,source_language,target_language,metric,value,n_train,n_eval
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,2,,,macro_f1,0.3980844619524876,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,ko,mrr,0.014633550633818477,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,ja,mrr,0.013287110322831157,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,zh,r1,0.0078125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,en,zh,mrr,0.02493748891575703,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,en,mrr,0.015407879220266882,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,ja,mrr,0.013275015955173258,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ko,zh,mrr,0.017595657460844946,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,en,mrr,0.010401525002178662,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,ko,mrr,0.011254231495343117,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,ja,zh,mrr,0.010568214218214824,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,en,mrr,0.026653568621567442,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,ko,mrr,0.017951945375993546,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,3,zh,ja,mrr,0.013508925972916426,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,3,,,accuracy,0.5234375,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,3,,,macro_f1,0.3998529910839385,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,ko,mrr,0.020388609239603048,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,ja,mrr,0.009686284800125271,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,zh,r1,0.0078125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,en,zh,mrr,0.02042217487842058,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,en,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,en,mrr,0.020695766380893044,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,ja,mrr,0.00951886565007304,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,zh,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ko,zh,mrr,0.01332174750756134,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,en,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,en,mrr,0.005933717079043806,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,ko,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,ko,mrr,0.006641533232103895,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,zh,r1,0.0,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,ja,zh,mrr,0.005841957698885736,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,en,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,en,mrr,0.021412367592393115,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,ko,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,ko,mrr,0.014216782051552542,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,4,zh,ja,mrr,0.009512977228038719,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,4,,,accuracy,0.5234375,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,language_probe,random,1,4,,,macro_f1,0.397858529540179,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,ko,r1,0.00390625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,ko,mrr,0.015080453494669169,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,ja,r1,0.001953125,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,ja,mrr,0.009419084311125276,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,zh,r1,0.009765625,1024,2048
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,retrieval,random,1,5,en,zh,mrr,0.023362920728927053,1024,2048
